Timestamp_s,Voltage_pu,Frequency_Hz,TotalGen_MW,TotalLoad_MW,SolarGen_MW,WindGen_MW,BESS_SOC_Pct,BESS_Power_MW,EVDemand_MW,GridHealthIndex_Pct,ControllerState,FaultCode,AI_AnomalyScore
0,1.00445,60,11.37,11.37,2.5,3,74.9986111111111,2.5,1.8,84.5,DISTURBANCE,10,0.85
0.1,1.00445,60,11.37,11.37,2.5,3,74.9972222222222,2.5,1.8,84.5,DISTURBANCE,10,0.85
0.2,1.00445,60,11.37,11.37,2.5,3,74.9958333333334,2.5,1.8,84.5,DISTURBANCE,10,0.85
0.3,1.00445,60,11.37,11.37,2.5,3,74.9944444444445,2.5,1.8,84.5,DISTURBANCE,10,0.85
0.4,1.00445,60,11.37,11.37,2.5,3,74.9930555555556,2.5,1.8,84.5,DISTURBANCE,10,0.85
0.5,1.00445,60,11.37,11.37,2.5,3,74.9916666666667,2.5,1.8,84.5,DISTURBANCE,10,0.85
0.6,1.00445,60,11.37,11.37,2.5,3,74.9902777777778,2.5,1.8,84.5,DISTURBANCE,10,0.85
0.7,1.00445,60,11.37,11.37,2.5,3,74.9888888888889,2.5,1.8,84.5,DISTURBANCE,10,0.85
0.8,1.00445,60,11.37,11.37,2.5,3,74.9875000000001,2.5,1.8,84.5,DISTURBANCE,10,0.85
0.9,1.00445,60,11.37,11.37,2.5,3,74.9861111111112,2.5,1.8,84.5,DISTURBANCE,10,0.85
1,1.00445,60,11.37,11.37,2.5,3,74.9847222222223,2.5,1.8,84.5,DISTURBANCE,10,0.85
1.1,1.00445,60,11.37,11.37,2.5,3,74.9833333333334,2.5,1.8,84.5,DISTURBANCE,10,0.85
1.2,1.00445,60,11.37,11.37,2.5,3,74.9819444444445,2.5,1.8,84.5,DISTURBANCE,10,0.85
1.3,1.00445,60,11.37,11.37,2.5,3,74.9805555555556,2.5,1.8,84.5,DISTURBANCE,10,0.85
1.4,1.00445,60,11.37,11.37,2.5,3,74.9791666666668,2.5,1.8,84.5,DISTURBANCE,10,0.85
1.5,1.00445,60,11.37,11.37,2.5,3,74.9777777777779,2.5,1.8,84.5,DISTURBANCE,10,0.85
1.6,1.00445,60,11.37,11.37,2.5,3,74.976388888889,2.5,1.8,84.5,DISTURBANCE,10,0.85
1.7,1.00445,60,11.37,11.37,2.5,3,74.9750000000001,2.5,1.8,84.5,DISTURBANCE,10,0.85
1.8,1.00445,60,11.37,11.37,2.5,3,74.9736111111112,2.5,1.8,84.5,DISTURBANCE,10,0.85
1.9,1.00445,60,11.37,11.37,2.5,3,74.9722222222223,2.5,1.8,84.5,DISTURBANCE,10,0.85
2,1.00445,60,11.37,11.37,2.5,3,74.9708333333335,2.5,1.8,84.5,DISTURBANCE,10,0.85
2.1,1.00445,60,11.37,11.37,2.5,3,74.9694444444446,2.5,1.8,84.5,DISTURBANCE,10,0.85
2.2,1.00445,60,11.37,11.37,2.5,3,74.9680555555557,2.5,1.8,84.5,DISTURBANCE,10,0.85
2.3,1.00445,60,11.37,11.37,2.5,3,74.9666666666668,2.5,1.8,84.5,DISTURBANCE,10,0.85
2.4,1.00445,60,11.37,11.37,2.5,3,74.9652777777779,2.5,1.8,84.5,DISTURBANCE,10,0.85
2.5,1.00445,60,11.37,11.37,2.5,3,74.963888888889,2.5,1.8,84.5,DISTURBANCE,10,0.85
2.6,1.00445,60,11.37,11.37,2.5,3,74.9625000000002,2.5,1.8,84.5,DISTURBANCE,10,0.85
2.7,1.00445,60,11.37,11.37,2.5,3,74.9611111111113,2.5,1.8,84.5,DISTURBANCE,10,0.85
2.8,1.00445,60,11.37,11.37,2.5,3,74.9597222222224,2.5,1.8,84.5,DISTURBANCE,10,0.85
2.9,1.00445,60,11.37,11.37,2.5,3,74.9583333333335,2.5,1.8,84.5,DISTURBANCE,10,0.85
3,1.00445,60,11.37,11.37,2.5,3,74.9569444444446,2.5,1.8,84.5,DISTURBANCE,10,0.85
3.1,1.00445,60,11.37,11.37,2.5,3,74.9555555555557,2.5,1.8,84.5,DISTURBANCE,10,0.85
3.2,1.00445,60,11.37,11.37,2.5,3,74.9541666666669,2.5,1.8,84.5,DISTURBANCE,10,0.85
3.3,1.00445,60,11.37,11.37,2.5,3,74.952777777778,2.5,1.8,84.5,DISTURBANCE,10,0.85
3.4,1.00445,60,11.37,11.37,2.5,3,74.9513888888891,2.5,1.8,84.5,DISTURBANCE,10,0.85
3.5,1.00445,60,11.37,11.37,2.5,3,74.9500000000002,2.5,1.8,84.5,DISTURBANCE,10,0.85
3.6,1.00445,60,11.37,11.37,2.5,3,74.9486111111113,2.5,1.8,84.5,DISTURBANCE,10,0.85
3.7,1.00445,60,11.37,11.37,2.5,3,74.9472222222225,2.5,1.8,84.5,DISTURBANCE,10,0.85
3.8,1.00445,60,11.37,11.37,2.5,3,74.9458333333336,2.5,1.8,84.5,DISTURBANCE,10,0.85
3.9,1.00445,60,11.37,11.37,2.5,3,74.9444444444447,2.5,1.8,84.5,DISTURBANCE,10,0.85
4,1.00445,60,11.37,11.37,2.5,3,74.9430555555558,2.5,1.8,84.5,DISTURBANCE,10,0.85
4.1,1.00445,60,11.37,11.37,2.5,3,74.9416666666669,2.5,1.8,84.5,DISTURBANCE,10,0.85
4.2,1.00445,60,11.37,11.37,2.5,3,74.940277777778,2.5,1.8,84.5,DISTURBANCE,10,0.85
4.3,1.00445,60,11.37,11.37,2.5,3,74.9388888888892,2.5,1.8,84.5,DISTURBANCE,10,0.85
4.4,1.00445,60,11.37,11.37,2.5,3,74.9375000000003,2.5,1.8,84.5,DISTURBANCE,10,0.85
4.5,1.00445,60,11.37,11.37,2.5,3,74.9361111111114,2.5,1.8,84.5,DISTURBANCE,10,0.85
4.6,1.00445,60,11.37,11.37,2.5,3,74.9347222222225,2.5,1.8,84.5,DISTURBANCE,10,0.85
4.7,1.00445,60,11.37,11.37,2.5,3,74.9333333333336,2.5,1.8,84.5,DISTURBANCE,10,0.85
4.8,1.00445,60,11.37,11.37,2.5,3,74.9319444444447,2.5,1.8,84.5,DISTURBANCE,10,0.85
4.9,1.00445,60,11.37,11.37,2.5,3,74.9305555555559,2.5,1.8,84.5,DISTURBANCE,10,0.85
5,1.05,60.01,8.3,8.1,0.8,3,74.929166666667,2.5,3.5,80,EMERGENCY,10,0.85
5.1,1.05,60.01,8.3,8.1,0.8,3,74.9277777777781,2.5,3.5,80,EMERGENCY,10,0.85
5.2,1.05,60.01,8.3,8.1,0.8,3,74.9263888888892,2.5,3.5,80,EMERGENCY,10,0.85
5.3,1.05,60.01,8.3,8.1,0.8,3,74.9250000000003,2.5,3.5,80,EMERGENCY,10,0.85
5.4,1.05,60.01,8.3,8.1,0.8,3,74.9236111111114,2.5,3.5,80,EMERGENCY,10,0.85
5.5,1.05,60.01,8.3,8.1,0.8,3,74.9222222222226,2.5,3.5,80,EMERGENCY,10,0.85
5.6,1.05,60.01,8.3,8.1,0.8,3,74.9208333333337,2.5,3.5,80,EMERGENCY,10,0.85
5.7,1.05,60.01,8.3,8.1,0.8,3,74.9194444444448,2.5,3.5,80,EMERGENCY,10,0.85
5.8,1.05,60.01,8.3,8.1,0.8,3,74.9180555555559,2.5,3.5,80,EMERGENCY,10,0.85
